phi1 Phi phi2 x y
203.300000 69.500000 175.100000 4 5
348.000000 109.400000 73.800000 4 6
348.000000 109.400000 73.800000 4 7
67.100000 106.500000 133.300000 4 8
67.100000 106.500000 133.300000 4 9
43.400000 58.000000 90.700000 4 10
113.400000 94.200000 133.400000 4 11
113.400000 94.200000 133.400000 4 12
294.700000 169.600000 191.000000 4 13
263.600000 95.100000 342.300000 4 14
204.800000 38.500000 27.600000 4 15
204.800000 38.500000 27.600000 4 16
110.900000 48.600000 294.400000 5 1
110.900000 48.600000 294.400000 5 2
110.900000 48.600000 294.400000 5 3
203.300000 69.500000 175.100000 5 4
203.300000 69.500000 175.100000 5 5
348.000000 109.400000 73.800000 5 6
348.000000 109.400000 73.800000 5 7
67.100000 106.500000 133.300000 5 8
67.100000 106.500000 133.300000 5 9
67.100000 106.500000 133.300000 5 10
301.600000 156.100000 17.100000 5 11
301.600000 156.100000 17.100000 5 12
294.700000 169.600000 191.000000 5 13
294.700000 169.600000 191.000000 5 14
294.700000 169.600000 191.000000 5 15
78.700000 89.300000 66.100000 5 16
110.900000 48.600000 294.400000 6 1
110.900000 48.600000 294.400000 6 2
134.700000 139.600000 70.300000 6 3
203.300000 69.500000 175.100000 6 4
203.300000 69.500000 175.100000 6 5
348.000000 109.400000 73.800000 6 6
348.000000 109.400000 73.800000 6 7
348.000000 109.400000 73.800000 6 8
348.000000 109.400000 73.800000 6 9
324.700000 116.300000 267.400000 6 10
301.600000 156.100000 17.100000 6 11
301.600000 156.100000 17.100000 6 12
294.700000 169.600000 191.000000 6 13
294.700000 169.600000 191.000000 6 14
315.700000 78.800000 287.400000 6 15
78.700000 89.300000 66.100000 6 16
331.400000 125.400000 87.700000 7 1
279.500000 41.000000 226.400000 7 2
134.700000 139.600000 70.300000 7 3
134.700000 139.600000 70.300000 7 4
203.300000 69.500000 175.100000 7 5
348.000000 109.400000 73.800000 7 6
348.000000 109.400000 73.800000 7 7
178.300000 97.700000 26.900000 7 8
178.300000 97.700000 26.900000 7 9
324.700000 116.300000 267.400000 7 10
301.600000 156.100000 17.100000 7 11
13.300000 68.500000 88.600000 7 12
13.300000 68.500000 88.600000 7 13
13.300000 68.500000 88.600000 7 14
315.700000 78.800000 287.400000 7 15
18.900000 36.600000 141.800000 7 16
331.400000 125.400000 87.700000 8 1
279.500000 41.000000 226.400000 8 2
134.700000 139.600000 70.300000 8 3
134.700000 139.600000 70.300000 8 4
177.300000 118.200000 303.100000 8 5
348.000000 109.400000 73.800000 8 6
343.100000 68.100000 48.500000 8 7
178.300000 97.700000 26.900000 8 8
178.300000 97.700000 26.900000 8 9
254.300000 107.400000 340.300000 8 10
152.400000 80.500000 341.100000 8 11
321.500000 137.400000 220.600000 8 12
321.500000 137.400000 220.600000 8 13
321.500000 137.400000 220.600000 8 14
280.000000 95.300000 280.700000 8 15
18.900000 36.600000 141.800000 8 16
279.500000 41.000000 226.400000 9 1
279.500000 41.000000 226.400000 9 2
134.700000 139.600000 70.300000 9 3
134.700000 139.600000 70.300000 9 4
177.300000 118.200000 303.100000 9 5
61.600000 149.400000 173.900000 9 6
61.600000 149.400000 173.900000 9 7
178.300000 97.700000 26.900000 9 8
178.300000 97.700000 26.900000 9 9
343.500000 59.700000 300.800000 9 10
152.400000 80.500000 341.100000 9 11
321.500000 137.400000 220.600000 9 12
321.500000 137.400000 220.600000 9 13
321.500000 137.400000 220.600000 9 14
253.800000 129.600000 296.500000 9 15
18.900000 36.600000 141.800000 9 16
293.900000 60.600000 255.500000 10 1
161.500000 68.500000 17.400000 10 2
354.900000 25.700000 338.200000 10 3
134.700000 139.600000 70.300000 10 4
61.600000 149.400000 173.900000 10 5
61.600000 149.400000 173.900000 10 6
61.600000 149.400000 173.900000 10 7
61.600000 149.400000 173.900000 10 8
343.500000 59.700000 300.800000 10 9
343.500000 59.700000 300.800000 10 10
334.900000 82.400000 310.100000 10 11
334.900000 82.400000 310.100000 10 12
331.900000 79.700000 346.300000 10 13
331.900000 79.700000 346.300000 10 14
331.900000 79.700000 346.300000 10 15
100.100000 45.400000 89.400000 10 16
293.900000 60.600000 255.500000 11 1
273.700000 51.900000 18.900000 11 2
354.900000 25.700000 338.200000 11 3
354.900000 25.700000 338.200000 11 4
31.400000 38.000000 10.800000 11 5
61.600000 149.400000 173.900000 11 6
61.600000 149.400000 173.900000 11 7
61.600000 149.400000 173.900000 11 8
303.600000 90.100000 127.100000 11 9
343.500000 59.700000 300.800000 11 10
102.800000 114.000000 77.700000 11 11
52.400000 96.100000 153.700000 11 12
331.900000 79.700000 346.300000 11 13
331.900000 79.700000 346.300000 11 14
293.900000 60.600000 255.500000 11 15
293.900000 60.600000 255.500000 11 16
293.900000 60.600000 255.500000 12 1
250.100000 73.000000 328.900000 12 2
250.100000 73.000000 328.900000 12 3
250.100000 73.000000 328.900000 12 4
31.400000 38.000000 10.800000 12 5
31.400000 38.000000 10.800000 12 6
31.400000 38.000000 10.800000 12 7
116.700000 110.800000 170.700000 12 8
156.300000 100.000000 203.900000 12 9
156.300000 100.000000 203.900000 12 10
150.800000 21.100000 79.000000 12 11
35.000000 142.400000 141.300000 12 12
331.900000 79.700000 346.300000 12 13
331.900000 79.700000 346.300000 12 14
293.900000 60.600000 255.500000 12 15
293.900000 60.600000 255.500000 12 16
293.900000 60.600000 255.500000 13 1
250.100000 73.000000 328.900000 13 2
250.100000 73.000000 328.900000 13 3
46.400000 34.600000 54.700000 13 4
46.400000 34.600000 54.700000 13 5
31.400000 38.000000 10.800000 13 6
156.300000 100.000000 203.900000 13 7
156.300000 100.000000 203.900000 13 8
156.300000 100.000000 203.900000 13 9
156.300000 100.000000 203.900000 13 10
150.800000 21.100000 79.000000 13 11
150.800000 21.100000 79.000000 13 12
271.900000 57.500000 315.400000 13 13
271.900000 57.500000 315.400000 13 14
293.900000 60.600000 255.500000 13 15
293.900000 60.600000 255.500000 13 16
332.800000 40.700000 209.000000 14 1
250.100000 73.000000 328.900000 14 2
250.100000 73.000000 328.900000 14 3
46.400000 34.600000 54.700000 14 4
46.400000 34.600000 54.700000 14 5
42.700000 134.000000 111.600000 14 6
42.700000 134.000000 111.600000 14 7
156.300000 100.000000 203.900000 14 8
156.300000 100.000000 203.900000 14 9
156.300000 100.000000 203.900000 14 10
150.800000 21.100000 79.000000 14 11
150.800000 21.100000 79.000000 14 12
271.900000 57.500000 315.400000 14 13
271.900000 57.500000 315.400000 14 14
63.000000 122.500000 16.400000 14 15
332.800000 40.700000 209.000000 14 16
